Nome,Bairro,Localização no Google Maps,Coordenada de Localização
SAMU 192,Centro,Maps,"-4.858808225445168, -43.36488582385694"
UNIDADE DE PRONTO ATENDIMENTO UPA,Centro,Maps,"-4.866930654023006, -43.37903001626873"
UNIDADE DE ACOLHIMENTO INFANTO JUVENIL,Centro,Maps,"-4.8461926940273585, -43.34379403742663"
UNIDADE DE ACOLHIMENTO ADULTO,Centro,Maps,"-4.8738652578388075, -43.37150392985964"
UNIDADE BASICA DE SAUDE DA VILA PARAISO,Vila Paraiso,Maps,"-4.893226415636243, -43.32064944654911"
UBS VOLTA REDONDA,Volta Redonda,Maps,"-4.8655, -43.3592 (aprox. de fontes online)"
UBS VILA SAO JOSE,Vila Sao Jose,Maps,"-4.887773520662399, -43.35279432739198"
UBS VILA ARIAS,Vila Arias,Maps,"-4.843983261252571, -43.3618834317879"
UBS VILA ALECRIM,Vila Alecrim,Maps,"-4.871035788376924, -43.34849011947233"
UBS TREZIDELA,Trezidela,Maps,"-4.86717837735723, -43.36793650844331"
UBS SAO FRANCISCO,Sao Francisco,Maps,"-4.848039554866819, -43.345748122926665"
UBS SANTA RITA*,Santa Rita,Maps,"-4.880249111236866, -43.34962151539705"
UBS SALOBRO,Salobro,Maps,"-4.883810861883479, -43.370451904221646"
UBS RODAGEM,Rodagem,Maps,"-4.696631107859479, -42.98719788702266"
UBS POVOADO SANTO ANTONIO,Povoado Santo Antonio,Maps,"-4.724435954810878, -43.041893338105794"
UBS POVOADO CAXIRIMBU,Povoado Caxirimbu,Maps,"-5.0669883456132325, -43.41683172378861"
UBS PONTE,Ponte,Maps,"-4.878388760501197, -43.36411423913348"
UBS PIRAJA,Piraja,Maps,"-4.868364657226101, -43.39134631494896"
UBS PIQUIZEIRO,Piquezeiro,Maps,"-4.856056134928957, -43.35448846413249"
UBS PAMPULHA*,Pampulha,Maps,"-4.890152231485685, -43.349675020307046"
UBS NOVA CAXIAS,Nova Caxias,Maps,"-4.866647226438803, -43.34686384098738"
UBS NAZARE DO BRUNO,Nazare do Bruno,Maps,"-4.839766584763102, -42.995925856332484"
UBS MUTIRAO,Mutirao,Maps,"-4.866208247562693, -43.33591801400503"
UBS MARIA DO ROSARIO PEREIRA ROSA BURITI CORRENTE,Buriti Corrente,Maps,"-4.760543608308124, -43.654758976422855"
UBS LUIZA QUEIROZ,Luiza Queiroz,Maps,"-4.9017861768832045, -43.34596115262467"
UBS ITAPECURUZINHO,Itapecuruzinho,Maps,"-4.902981908916545, -43.33964886142303"
UBS FAZENDINHA,Fazendinha,Maps,"-4.872133858248433, -43.37460544284131"
UBS EUGENIO COUTINHO,Eugenio Coutinho,Maps,"-4.832580856557856, -43.33706706380557"
UBS DR JOSE DAS SUNCAB BRAND BREINHO,Breinho,Maps,"-4.949044044106122, -43.11629400394584"
UBS CRISTINO CRUZ,Cristino Cruz,Maps,NULL
UBS COHAB II,Cohab II,Maps,NULL
UBS COHAB,Cohab,Maps,"-4.868066303641145, -43.336124802033666"
UBS CHAPADA,Chapada,Maps,"-4.949326096325621, -43.506622974879114"
UBS CENTRO,Centro,Maps,"-4.859716475612348, -43.360827543527606"
UBS CASTELO BRANCO,Castelo Branco,Maps,"-4.863089421362865, -43.35081404632841"
UBS CANGALHEIRO,Cangalheiro,Maps,"-4.870199950523411, -43.35802363763031"
UBS CAMPO DE BELEM II,Campo de Belem II,Maps,"-4.876119160657424, -43.374312119977525"
UBS CAMPO DE BELEM,Campo de Belem,Maps,"-4.873641002863833, -43.37049372264665"
UBS CALDEIROES,Caldeiroes,Maps,"-4.857949037479132, -43.37077568824763"
UBS CAICARA,Caicara,Maps,NULL
UBS CABECEIRA DOS CAVALOS,Cabeceira dos Cavalos,Maps,NULL
UBS BUENOS AIRES*,Buenos Aires,Maps,"-5.149171698284765, -43.264383057765535"
UBS BOM JESUS,Bom Jesus,Maps,"-4.860085903091272, -43.37644949031538"
UBS BAU,Bau,Maps,"-5.222922576215998, -43.45021421099267"
UBS BAIXINHA,Baixinha,Maps,"-4.854833546102567, -43.344326871582915"
UBS ANTENOR VIANA,Antenor Viana,Maps,"-4.842582967453805, -43.348082807047795"
SERVICO DE ATENDIMENTO ESPECIALIZADO SAE*,Centro,Maps,"-4.854503564376538, -43.35573906419414"
POLICLINICA DE CAXIAS,Centro,Maps,"-4.854145324734614, -43.35438050046841"
NUCLEO DE HEMOTERAPIA DE CAXIAS,Centro,Maps,"-4.872451878866187, -43.36888100607556"
MATERNIDADE CARMOSINA COUTINHO,Centro,Maps,"-4.873299748777309, -43.369232375899216"
HOSPITAL MUNICIPAL INFANTIL DR JOAO VIANA,Centro,Maps,"-4.8594703778397, -43.3648406018539"
HOSPITAL MACRORREGIONAL DE CAXIAS DR EVERALDO F ARAGAO,Centro,Maps,"-4.880474710705356, -43.34226774922922"
HOSPITAL DIA,Centro,Maps,"-4.847497653121514, -43.349204570434196"
HOSPITAL DE TRAUMATOLOGIA ORTOPEDIA DE CAXIAS E,Centro,Maps,"-4.859883962929658, -43.359470437279576"
COMPLEXO HOSPITALAR GENTIL FILHO,Centro,Maps,"-4.849874362837133, -43.35377519073047"
CLINICA DE SAUDE DA FAMILIA UNIFACEMA,Centro,Maps,"-4.831064292808455, -43.33639012749621"
CENTRO MEDICO DE CAXIAS,Centro,Maps,"-4.860135067868142, -43.35984676490797"
CENTRO ESPECIALIZADO EM REABILITACAO TIPO II DE CAXIAS MA,Centro,Maps,"-4.863825017592908, -43.359240631109586"
CENTRO ESPECIALIZADO EM HIPERTENSAO E DIABETES ROSARIO GENTIL,Centro,Maps,"-4.877250335280773, -43.335384611816956"
CENTRO DE REFERENCIA EM SAUDE DO TRABALHADOR REGIONAL (ANULADO),Centro,Maps,NULL
CENTRO DE ESPECIALIDADES ODONTOLOGICAS CEO,Centro,Maps,"-4.8632592625964435, -43.36560245103688"
CENTRO DE ATENCAO PSICOSSOCIAL INFANTO JUVENIL,Centro,Maps,"-4.847733379327044, -43.349267788668264"
CENTRO DE ATENCAO PSICOSSOCIAL DE CAXIAS III,Centro,Maps,"-4.847727024290467, -43.34902170242251"
CENTRO DE ATENCAO PSICOSSOCIAL ALCOOL E DROGA,Centro,Maps,"-4.88330214089616, -43.374555818800026"
CEAMI CENTRO DE ESPECIALIDADE EM ASSIST MATERN INFANTIL,Centro,Maps,"-4.861323966123985, -43.36432220963017"
CASA DE SAUDE DR HUMBERTO COUTINHO,Centro,Maps,"-4.859400826179799, -43.36106214513833"
AMBULATORIO SAO LUIS,Centro,Maps,"-4.886744310013387, -43.34958512543494"
AMBULATORIO ESPECIALIZADO DE CAXIAS,Centro,Maps,"-4.859737327282582, -43.36107227996219"
OFTALMODONTO,Centro,Maps,"-4.860396646689453, -43.361179756911596"
MULTICLINICA,Centro,Maps,"-4.859681991605936, -43.365126074792755"
INTERMED,Centro,Maps,"-4.85891928878442, -43.361275897228076"
INTERCLINICA SANTA TEREZINHA,Centro,Maps,"-4.858857907172704, -43.36145023074636"
CLINSION DIAGNOSTICOS,Centro,Maps,"-4.859575371432061, -43.36447374677345"
